Number,Make,Name,Model,Price,Color,Car Type,Availability
LHR-873,Honda,CIVIC,2020,$4500,White,Sedan,Available
APF-25,HONDA,CIVIC X,2025,$10000,Black,Not Set,Available
LHR-786,Toyota,Fortuner,2022,$12000,White,SUV,Available
KHI-567,Honda,Civic RS,2024,$7500,Black,Sedan,Available
ISB-345,Honda,City Aspire,2021,$5500,Silver,Sedan,Booked
LHR-222,Suzuki,Swift GLX,2022,$4800,Red,Hatchback,Available
ISB-999,Hyundai,Tucson,2023,$13000,Blue,SUV,Available
LHR-555,KIA,Picanto,2021,$4000,Silver,Hatchback,Booked
ISB-777,Mercedes,C-Class,2023,$25000,Black,Luxury Sedan,Available
ICT-1-SP,Honda,CIVIC RS Turbo,2025,$12000,Perple,Sports,Booked
ICT-123-GR,TOYOTA,CAROLLA GRANDE,2025,$92000,WHITE,Not Set,Booked
